economy,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019
FRA,2668.87622070313,2657.86059570313,2664.5400390625,2732.7431640625,2915.69458007813,2986.8583984375,3117.2119140625,3199.74829101563,3334.1669921875,3313.25854492188,3423.74853515625,3585.80590820313,3659.884765625,3747.28466796875,3873.01293945313,3942.38891601563,4073.25048828125,4154.8154296875,4233.63818359375,4336.01416015625,4414.69873046875,4569.90771484375,4699.74169921875,4811.53076171875
GBR,2490.55493164063,2497.82055664063,2694.61743164063,2853.96557617188,2894.51489257813,3080.69409179688,3340.2216796875,3638.09033203125,3824.26196289063,4123.53173828125,4176.3125,4111.140625,4053.92724609375,4076.55200195313,4043.26708984375,3926.11791992188,3969.85913085938,4119.451171875,4227.6201171875,4319.50146484375,4357.93310546875,4434.9658203125,4554.4658203125,4683.765625
GRC,,1005.33117675781,,1337.3017578125,,1290.70593261719,,1393.29895019531,,1745.49206542969,1779.74914550781,1889.68737792969,,,,2278.51782226563,2300.314453125,2721.31103515625,2791.87158203125,3255.986328125,2769.89990234375,3311.44848632813,3486.71557617188,3731.04565429688
HRV,,,1054.34057617188,1239.33093261719,1529.33276367188,1509.95617675781,1950.04370117188,1335.41589355469,1628.69348144531,1308.1142578125,1321.96179199219,1404.9521484375,1538.60791015625,1596.53967285156,1641.34228515625,1587.48962402344,1556.84118652344,1526.68078613281,1437.42980957031,1504.17895507813,1850.49572753906,1868.34020996094,1921.13134765625,2135.43603515625
HUN,1007.31164550781,1082.02185058594,1141.19201660156,1227.28942871094,1409.51916503906,1438.76721191406,1471.8779296875,1496.84326171875,1473.53100585938,1574.27124023438,1744.98864746094,1734.91040039063,1851.90612792969,2014.5712890625,2149.81420898438,2326.16650390625,2416.4775390625,2546.08471679688,2673.43432617188,2589.09790039063,2645.7568359375,2921.533203125,3873.91235351563,4057.43969726563
IRL,1773.75158691406,1930.2275390625,2093.25537109375,2110.96533203125,2251.06225585938,2329.10717773438,2399.18237304688,2522.31372070313,2713.072265625,2797.9658203125,2877.11767578125,2935.43432617188,3284.0625,3156.91625976563,3112.6484375,3325.77880859375,4853.9580078125,5136.47509765625,5304.4794921875,5270.65966796875,5178.244140625,5142.765625,4733.2158203125,4820.69091796875
ISL,3294.46606445313,4916.962890625,5137.35400390625,5677.115234375,,6572.47802734375,,6657.359375,,7305.265625,8006.6728515625,7235.986328125,7423.61083984375,7925.9765625,,6981.3955078125,,5648.3603515625,,5887.90673828125,6640.4580078125,6130.51123046875,6088.27099609375,
ITA,1339.53735351563,1154.47802734375,1151.75927734375,1149.01196289063,1166.1220703125,1172.77941894531,1245.87023925781,1221.79797363281,1242.69299316406,1415.36010742188,1510.5166015625,1583.0380859375,1625.30334472656,1723.02038574219,1743.34436035156,1781.38854980469,1848.62683105469,1930.68676757813,1956.36059570313,2077.88256835938,2204.076171875,2313.65478515625,2512.185546875,2656.04956054688
LTU,2090.04150390625,2178.82568359375,2372.90161132813,2419.54150390625,2220.8330078125,2324.66088867188,1836.41076660156,1934.76684570313,2175.60327148438,2283.60888671875,2415.74047851563,2598.05224609375,2624.76025390625,2680.54614257813,2752.72290039063,2721.01953125,2634.32592773438,2843.8642578125,3054.01611328125,2785.58471679688,2950.279296875,3071.96069335938,3190.70239257813,3489.60205078125
LUX,,,,,3773.42041015625,,,4357.04052734375,4494.72021484375,4864.12353515625,4411.8466796875,4633.67138671875,4712.765625,4826.32373046875,5144.982421875,5451.361328125,4352.17041015625,4614.2177734375,4741.0712890625,4604.92529296875,4776.57861328125,4960.21337890625,4738.47509765625,5076.90869140625
